hospital_name,city,state,phone,email
Apollo Hospital,Delhi,Delhi,3663274376,apollohospital@hospital.com
Fortis Hospital,Noida,Uttar Pradesh,2787386000,fortishospital@hospital.com
AIIMS,Delhi,Delhi,1160632070,aiims@hospital.com
Max Super Speciality,Delhi,Delhi,5015409097,maxsuperspeciality@hospital.com
Medanta,Gurugram,Haryana,8353419909,medanta@hospital.com
Manipal Hospital,Bengaluru,Karnataka,7512863166,manipalhospital@hospital.com
Narayana Health,Bengaluru,Karnataka,9450726239,narayanahealth@hospital.com
Ruby Hall Clinic,Pune,Maharashtra,1897463056,rubyhallclinic@hospital.com
Kokilaben Hospital,Mumbai,Maharashtra,4091041680,kokilabenhospital@hospital.com
Care Hospital,Hyderabad,Telangana,5905111867,carehospital@hospital.com
